<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "EndSession", "min_delay": 48.0, 
  "message": "Come back for part 2 in 48 hours"},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"],
"training_trials": 0
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-01-29 09:23:27.234258
</Empirical:time>
<Empirical:privatedata>WorkerId: A2MWAXV1YRK5GH
IP address: 2601:80:8400:e6b0:705b:9f10:5c9b:5034
</Empirical:privatedata>
<Empirical:datalog>17.20	Memory retest, Stimuli: [{"s":6,"p":[{"c":"#7305EB","d":[55.8,5.7,34.8,58.5]},{"c":"#93083F","d":[25.3,19.6,48.8,47]},{"c":"#5BF6B0","d":[22.6,36.8,7,15.3]}]},{"s":6,"p":[{"c":"#E808A2","d":[52,11.8,20.6,47.9]},{"c":"#058916","d":[26.8,51.3,20.3,48.3]},{"c":"#533FFC","d":[53.8,58.9,53.8,13.2]}]},{"s":6,"p":[{"c":"#BE2066","d":[53.8,31.3,56.5,35.9]},{"c":"#ECA137","d":[25.2,56.7,39.5,32.7]},{"c":"#A7A175","d":[27.2,1.3,2.7,40.9]}]},{"s":6,"p":[{"c":"#77C300","d":[12.6,53.3,2.5,43.4]},{"c":"#FA477A","d":[33.9,10.2,38.2,28.6]},{"c":"#A21BB9","d":[42.3,53.8,48.7,39.3]}]},{"s":6,"p":[{"c":"#357A0A","d":[42.7,9.7,46,17.3]},{"c":"#897D51","d":[46.9,52.9,30.9,24.7]},{"c":"#2E8A2A","d":[54.5,36.2,29,6.6]}]},{"s":6,"p":[{"c":"#85AAE1","d":[52.5,42.1,22.4,42.4]},{"c":"#BC8005","d":[46.7,26.8,20.4,20.5]},{"c":"#D27A31","d":[52.3,46,48.8,51.9]}]},{"s":6,"p":[{"c":"#EFDF6F","d":[6.7,33.9,46.2,8.3]},{"c":"#AEE2F3","d":[13.2,13.5,1.7,31.5]},{"c":"#2B4B07","d":[51.7,3.9,46.3,21.2]}]},{"s":6,"p":[{"c":"#B56554","d":[10.5,54.5,12.5,54.7]},{"c":"#E81ACE","d":[30.4,22.7,32,26.7]},{"c":"#29527C","d":[54.8,46.2,57.8,21.2]}]},{"s":6,"p":[{"c":"#35069D","d":[40,19,9.3,49.2]},{"c":"#230DB2","d":[33.1,53.6,55.5,11.4]},{"c":"#32E0FE","d":[18.8,49.7,45.2,24.2]}]},{"s":6,"p":[{"c":"#B702E0","d":[9.1,4,56.9,49.6]},{"c":"#02CF35","d":[50.7,2.3,51.1,49]},{"c":"#8C5F44","d":[38,23.1,21.6,54.9]}]},{"s":6,"p":[{"c":"#4B0D0A","d":[56,45.8,54.2,2.3]},{"c":"#1AC573","d":[40.7,16.1,47.6,40.8]},{"c":"#4861D4","d":[19.9,55.3,29.5,10]}]},{"s":6,"p":[{"c":"#19C664","d":[3.4,32.7,20.2,19.5]},{"c":"#EA5E4C","d":[47,56.1,25.2,16.7]},{"c":"#A39D4B","d":[38.2,3.7,22,4.1]}]}]
264.83	Trial 24 correct OrderType 1 Shuffled false Imposter 10 600 points awarded, 4100 total
265.52	Imposter at position 11
272.25	Pressed 1
272.25	Trial 25 correct OrderType 1 Shuffled false Imposter 11 600 points awarded, 4700 total
272.82	Imposter at position 8
279.36	Pressed 1
279.36	Trial 26 correct OrderType 3 Shuffled true Imposter 8 600 points awarded, 5300 total
280.58	No imposter
287.79	Pressed 2
287.79	Trial 27 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 5900 total
289.67	No imposter
297.59	Pressed 2
297.59	Trial 28 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 6500 total
298.58	No imposter
305.84	Pressed 1
305.84	Trial 29 incorrect OrderType 2 Shuffled true Imposter -1 0 points awarded, 6500 total
307.18	No imposter
314.24	Pressed 2
314.24	Trial 30 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 6600 total
315.20	Imposter at position 2
321.92	Pressed 1
321.92	Trial 31 correct OrderType 3 Shuffled true Imposter 2 100 points awarded, 6700 total
322.99	No imposter
329.62	Pressed 1
329.62	Trial 32 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 6700 total
330.65	Imposter at position 1
337.45	Pressed 1
337.45	Trial 33 correct OrderType 3 Shuffled true Imposter 1 100 points awarded, 6800 total
338.32	No imposter
350.86	Pressed 2
350.86	Trial 34 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 6900 total
358.47	Imposter at position 4
365.11	Pressed 1
365.11	Trial 35 correct OrderType 3 Shuffled true Imposter 4 200 points awarded, 7100 total
366.03	No imposter
373.44	Pressed 2
373.44	Trial 36 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 7300 total
385.87	Imposter at position 7
392.45	Pressed 1
392.45	Trial 37 correct OrderType 3 Shuffled true Imposter 7 350 points awarded, 7650 total
393.18	Imposter at position 0
399.75	Pressed 1
399.75	Trial 38 correct OrderType 3 Shuffled true Imposter 0 350 points awarded, 8000 total
400.41	No imposter
406.97	Pressed 1
406.97	Trial 39 incorrect OrderType 2 Shuffled true Imposter -1 0 points awarded, 8000 total
408.11	No imposter
415.11	Pressed 2
415.11	Trial 40 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 8100 total
415.95	Imposter at position 3
422.57	Pressed 1
422.57	Trial 41 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 8200 total
423.32	Imposter at position 7
429.77	Pressed 1
429.77	Trial 42 correct OrderType 3 Shuffled true Imposter 7 200 points awarded, 8400 total
430.31	Imposter at position 1
437.00	Pressed 1
437.00	Trial 43 correct OrderType 1 Shuffled false Imposter 1 200 points awarded, 8600 total
437.82	No imposter
445.34	Pressed 2
445.34	Trial 44 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 8950 total
446.22	No imposter
453.68	Pressed 2
453.68	Trial 45 correct OrderType 2 Shuffled true Imposter -1 350 points awarded, 9300 total
454.40	No imposter
461.57	Pressed 2
461.57	Trial 46 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 9700 total
462.31	No imposter
469.24	Pressed 2
469.24	Trial 47 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 10100 total
470.68	No imposter
477.89	Pressed 2
477.89	Trial 48 correct OrderType 0 Shuffled false Imposter -1 500 points awarded, 10600 total
481.88	Imposter at position 10
488.48	Pressed 1
488.48	Trial 49 correct OrderType 1 Shuffled false Imposter 10 600 points awarded, 11200 total
489.53	No imposter
496.78	Pressed 2
496.78	Trial 50 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 11800 total
497.87	Imposter at position 4
504.76	Pressed 1
504.76	Trial 51 correct OrderType 3 Shuffled true Imposter 4 600 points awarded, 12400 total
506.81	No imposter
513.88	Pressed 2
513.88	Trial 52 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 13000 total
514.58	No imposter
521.65	Pressed 2
521.65	Trial 53 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 13600 total
522.61	Imposter at position 2
529.21	Pressed 1
529.21	Trial 54 correct OrderType 1 Shuffled false Imposter 2 600 points awarded, 14200 total
530.10	No imposter
537.64	Pressed 2
537.64	Trial 55 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 14800 total
539.59	Imposter at position 11
546.57	Pressed 1
546.57	Trial 56 correct OrderType 3 Shuffled true Imposter 11 600 points awarded, 15400 total
547.24	No imposter
554.46	Pressed 2
554.46	Trial 57 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 16000 total
556.08	No imposter
563.54	Pressed 2
563.54	Trial 58 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 16600 total
565.23	Imposter at position 6
572.13	Pressed 1
572.13	Trial 59 correct OrderType 1 Shuffled false Imposter 6 600 points awarded, 17200 total
576.77	No imposter
584.07	Pressed 2
584.07	Trial 60 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 17800 total
585.53	No imposter
592.62	Pressed 2
592.62	Trial 61 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 18400 total
594.05	No imposter
600.66	Pressed 1
600.66	Trial 62 incorrect OrderType 2 Shuffled true Imposter -1 0 points awarded, 18400 total
604.91	Imposter at position 5
611.57	Pressed 1
611.57	Trial 63 correct OrderType 3 Shuffled true Imposter 5 100 points awarded, 18500 total
612.47	No imposter
619.97	Pressed 2
619.97	Trial 64 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 18600 total
621.09	Imposter at position 8
627.64	Pressed 1
627.64	Trial 65 correct OrderType 3 Shuffled true Imposter 8 200 points awarded, 18800 total
628.33	No imposter
634.88	Pressed 2
634.88	Trial 66 correct OrderType 2 Shuffled true Imposter -1 200 points awarded, 19000 total
635.56	No imposter
642.62	Pressed 2
642.62	Trial 67 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 19350 total
643.66	Imposter at position 9
650.24	Pressed 1
650.24	Trial 68 correct OrderType 3 Shuffled true Imposter 9 350 points awarded, 19700 total
650.89	No imposter
658.24	Pressed 2
658.24	Trial 69 correct OrderType 2 Shuffled true Imposter -1 400 points awarded, 20100 total
659.71	Imposter at position 3
666.26	Pressed 1
666.26	Trial 70 correct OrderType 3 Shuffled true Imposter 3 400 points awarded, 20500 total
666.90	No imposter
674.25	Pressed 2
674.25	Trial 71 correct OrderType 2 Shuffled true Imposter -1 500 points awarded, 21000 total
675.65	Imposter at position 6
682.80	Pressed 1
682.80	Trial 72 correct OrderType 3 Shuffled true Imposter 6 600 points awarded, 21600 total
702.79	No imposter
710.16	Pressed 2
710.16	Trial 73 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 22200 total
711.24	No imposter
718.30	Pressed 2
718.31	Trial 74 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 22800 total
719.04	No imposter
725.78	Pressed 2
725.78	Trial 75 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 23400 total
726.48	No imposter
733.10	Pressed 2
733.10	Trial 76 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 24000 total
734.15	No imposter
740.76	Pressed 2
740.76	Trial 77 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 24600 total
742.65	Imposter at position 1
749.27	Pressed 1
749.27	Trial 78 correct OrderType 1 Shuffled false Imposter 1 600 points awarded, 25200 total
752.55	No imposter
759.06	Pressed 2
759.06	Trial 79 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 25800 total
759.89	Imposter at position 5
766.49	Pressed 1
766.49	Trial 80 correct OrderType 3 Shuffled true Imposter 5 600 points awarded, 26400 total
766.49	Browser name Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36
766.49	Used keyboard [true], mouse [false], touchscreen [false]
766.50	Completion code TJM5I
</Empirical:datalog>

<Empirical:recorddata>RecordId: 33311
SessionToken: A2MWAXV1YRK5GH
WorkerId: 7a8a094417611f9a
UploadDate: 2022-01-29 15:23:27.235809+00:00
</Empirical:recorddata></root>
