<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "EndSession", "min_delay": 2.0, 
  "message": "Come back for part 2 in 2 hours"},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"],
"training_trials": 0
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2021-12-28 04:47:26.489272
</Empirical:time>
<Empirical:privatedata>WorkerId: A1RV2LERVS0A4H
IP address: 68.100.109.66
</Empirical:privatedata>
<Empirical:datalog>16.52	Memory retest, Stimuli: [{"s":6,"p":[{"c":"#424890","d":[49,23.1,49.5,30.8]},{"c":"#D247BD","d":[17.8,43.3,17.9,24.4]},{"c":"#47C6F3","d":[44.8,23.1,47.9,45.1]}]},{"s":6,"p":[{"c":"#BB3191","d":[25.7,39,44.2,55.5]},{"c":"#3120FC","d":[5.1,18.9,53.2,59.3]},{"c":"#E4759E","d":[54.2,27.9,36.9,17.6]}]},{"s":6,"p":[{"c":"#A6378D","d":[57.2,49.2,27.9,10.7]},{"c":"#693E60","d":[54.7,10.5,28.4,48]},{"c":"#1035A7","d":[37.6,59.7,22.1,11.2]}]},{"s":6,"p":[{"c":"#2BB99C","d":[0.6,48.1,28.9,50.8]},{"c":"#F3082B","d":[41.6,16.1,52.6,37.5]},{"c":"#65433F","d":[46,16.1,15.4,36.7]}]},{"s":6,"p":[{"c":"#F56D73","d":[44.7,43.1,0.6,26.8]},{"c":"#FAD300","d":[50.2,5.2,18,34.9]},{"c":"#2AF483","d":[54.2,19.2,57.2,11.1]}]},{"s":6,"p":[{"c":"#945F75","d":[38.5,53.5,12.6,50]},{"c":"#F2D1D2","d":[6.9,3.7,44.8,49.5]},{"c":"#3AA834","d":[41.5,36.2,35.6,9.8]}]},{"s":6,"p":[{"c":"#4EE060","d":[0.1,51.1,52.6,57]},{"c":"#8C4B8B","d":[18.2,18.7,51.9,22.5]},{"c":"#6D4EAF","d":[28.5,13.5,28.7,18.8]}]},{"s":6,"p":[{"c":"#788938","d":[39.3,43.3,44.4,33.7]},{"c":"#48C493","d":[35,37,28.4,38.6]},{"c":"#6666B7","d":[2.6,5.5,30.4,46.8]}]},{"s":6,"p":[{"c":"#012637","d":[39.7,26.2,17.3,41.9]},{"c":"#0FACD9","d":[27.6,59.1,32.3,15.5]},{"c":"#A9FDE5","d":[36.9,24.7,11.2,21.8]}]},{"s":6,"p":[{"c":"#BA583E","d":[42.4,57.5,32,15.5]},{"c":"#4054F1","d":[46.2,11.5,11.3,45.2]},{"c":"#09F0CA","d":[1.3,57.1,43.8,31.1]}]},{"s":6,"p":[{"c":"#7625B3","d":[23.6,24.3,55.6,13.7]},{"c":"#2FC31D","d":[1.7,16.1,17.7,5.9]},{"c":"#4FA3C0","d":[49.5,10,24.5,18.7]}]},{"s":6,"p":[{"c":"#EB806C","d":[13.6,36.3,49,54.6]},{"c":"#9ADF27","d":[49,29.2,38.9,6]},{"c":"#E10D00","d":[18.8,3.2,31.2,1.2]}]}]
284.84	Trial 24 correct OrderType 2 Shuffled true Imposter -1 400 points awarded, 8500 total
286.10	Imposter at position 3
295.35	Pressed 1
295.35	Trial 25 correct OrderType 1 Shuffled false Imposter 3 400 points awarded, 8900 total
296.57	Imposter at position 8
303.84	Pressed 1
303.84	Trial 26 correct OrderType 3 Shuffled true Imposter 8 500 points awarded, 9400 total
305.14	No imposter
312.78	Pressed 2
312.78	Trial 27 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 10000 total
314.02	No imposter
321.44	Pressed 2
321.44	Trial 28 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 10600 total
322.95	Imposter at position 5
330.43	Pressed 1
330.43	Trial 29 correct OrderType 1 Shuffled false Imposter 5 600 points awarded, 11200 total
331.71	Imposter at position 4
338.84	Pressed 1
338.84	Trial 30 correct OrderType 3 Shuffled true Imposter 4 600 points awarded, 11800 total
340.29	Imposter at position 9
347.55	Pressed 1
347.55	Trial 31 correct OrderType 1 Shuffled false Imposter 9 600 points awarded, 12400 total
348.79	No imposter
356.09	Pressed 2
356.09	Trial 32 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 13000 total
357.24	No imposter
364.41	Pressed 2
364.41	Trial 33 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 13600 total
365.56	No imposter
373.11	Pressed 2
373.11	Trial 34 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 14200 total
374.80	No imposter
382.09	Pressed 2
382.09	Trial 35 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 14800 total
383.52	No imposter
390.98	Pressed 2
390.98	Trial 36 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 15400 total
392.25	No imposter
400.02	Pressed 2
400.03	Trial 37 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 16000 total
401.38	No imposter
408.70	Pressed 2
408.70	Trial 38 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 16600 total
409.89	Imposter at position 7
416.97	Pressed 1
416.97	Trial 39 correct OrderType 3 Shuffled true Imposter 7 600 points awarded, 17200 total
418.27	No imposter
426.09	Pressed 2
426.09	Trial 40 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 17800 total
429.41	Imposter at position 0
436.82	Pressed 1
436.83	Trial 41 correct OrderType 1 Shuffled false Imposter 0 600 points awarded, 18400 total
438.10	Imposter at position 2
445.55	Pressed 1
445.55	Trial 42 correct OrderType 3 Shuffled true Imposter 2 600 points awarded, 19000 total
447.03	Imposter at position 11
454.40	Pressed 1
454.41	Trial 43 correct OrderType 3 Shuffled true Imposter 11 600 points awarded, 19600 total
455.74	Imposter at position 6
462.74	Pressed 1
462.74	Trial 44 correct OrderType 3 Shuffled true Imposter 6 600 points awarded, 20200 total
464.18	Imposter at position 3
471.20	Pressed 1
471.20	Trial 45 correct OrderType 1 Shuffled false Imposter 3 600 points awarded, 20800 total
472.50	No imposter
480.00	Pressed 2
480.00	Trial 46 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 21400 total
481.36	No imposter
488.56	Pressed 2
488.56	Trial 47 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 22000 total
489.79	Imposter at position 1
497.02	Pressed 1
497.02	Trial 48 correct OrderType 1 Shuffled false Imposter 1 600 points awarded, 22600 total
498.41	Imposter at position 10
505.67	Pressed 1
505.67	Trial 49 correct OrderType 1 Shuffled false Imposter 10 600 points awarded, 23200 total
506.91	Imposter at position 4
513.93	Pressed 1
513.93	Trial 50 correct OrderType 1 Shuffled false Imposter 4 600 points awarded, 23800 total
515.20	No imposter
522.49	Pressed 2
522.49	Trial 51 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 24400 total
523.79	No imposter
531.24	Pressed 2
531.24	Trial 52 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 25000 total
532.55	Imposter at position 11
539.89	Pressed 1
539.89	Trial 53 correct OrderType 3 Shuffled true Imposter 11 600 points awarded, 25600 total
541.14	Imposter at position 0
548.31	Pressed 1
548.31	Trial 54 correct OrderType 1 Shuffled false Imposter 0 600 points awarded, 26200 total
549.54	Imposter at position 5
556.70	Pressed 1
556.70	Trial 55 correct OrderType 3 Shuffled true Imposter 5 600 points awarded, 26800 total
558.19	No imposter
565.32	Pressed 2
565.32	Trial 56 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 27400 total
566.55	No imposter
573.70	Pressed 2
573.70	Trial 57 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 28000 total
574.85	Imposter at position 2
581.94	Pressed 1
581.94	Trial 58 correct OrderType 3 Shuffled true Imposter 2 600 points awarded, 28600 total
583.25	No imposter
591.14	Pressed 2
591.14	Trial 59 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 29200 total
593.21	Imposter at position 1
600.28	Pressed 1
600.28	Trial 60 correct OrderType 3 Shuffled true Imposter 1 600 points awarded, 29800 total
601.60	No imposter
609.06	Pressed 2
609.06	Trial 61 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 30400 total
610.29	Imposter at position 3
617.55	Pressed 1
617.55	Trial 62 correct OrderType 1 Shuffled false Imposter 3 600 points awarded, 31000 total
618.80	No imposter
626.19	Pressed 2
626.19	Trial 63 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 31600 total
627.40	Imposter at position 6
634.50	Pressed 1
634.50	Trial 64 correct OrderType 3 Shuffled true Imposter 6 600 points awarded, 32200 total
640.32	No imposter
647.75	Pressed 2
647.75	Trial 65 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 32800 total
649.11	No imposter
656.26	Pressed 2
656.26	Trial 66 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 33400 total
657.37	No imposter
664.65	Pressed 2
664.65	Trial 67 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 34000 total
665.82	Imposter at position 10
672.88	Pressed 1
672.88	Trial 68 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 34100 total
674.59	Imposter at position 8
681.72	Pressed 1
681.72	Trial 69 correct OrderType 3 Shuffled true Imposter 8 100 points awarded, 34200 total
683.03	No imposter
690.17	Pressed 2
690.17	Trial 70 correct OrderType 2 Shuffled true Imposter -1 100 points awarded, 34300 total
691.50	Imposter at position 9
698.65	Pressed 1
698.65	Trial 71 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 34400 total
700.11	No imposter
707.57	Pressed 2
707.57	Trial 72 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 34500 total
709.04	Imposter at position 7
716.28	Pressed 1
716.28	Trial 73 correct OrderType 3 Shuffled true Imposter 7 100 points awarded, 34600 total
717.53	Imposter at position 9
724.78	Pressed 1
724.78	Trial 74 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 34700 total
727.51	No imposter
734.87	Pressed 2
734.87	Trial 75 correct OrderType 2 Shuffled true Imposter -1 100 points awarded, 34800 total
736.34	No imposter
743.58	Pressed 2
743.59	Trial 76 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 34900 total
748.57	No imposter
755.70	Pressed 2
755.70	Trial 77 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 35000 total
756.94	Imposter at position 8
764.37	Pressed 1
764.37	Trial 78 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 35100 total
765.97	Imposter at position 10
773.03	Pressed 1
773.03	Trial 79 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 35200 total
774.36	Imposter at position 4
781.55	Pressed 1
781.55	Trial 80 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 35300 total
781.58	Browser name Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36
781.58	Used keyboard [true], mouse [false], touchscreen [false]
781.58	Completion code E4J64
</Empirical:datalog>

<Empirical:recorddata>RecordId: 32302
SessionToken: A1RV2LERVS0A4H
WorkerId: 95e817fbca671d7f
UploadDate: 2021-12-28 10:47:26.490647+00:00
</Empirical:recorddata></root>
